model,accuracy,macro_precision,macro_recall,macro_f1,f1_depressed,f1_non_depressed
xlm_lr5e-06_wr0.0_dw4.0,0.6809,0.6476,0.6699,0.6498,0.5455,0.7541
bert_lr1e-05_wr0.0_dwAuto,0.6383,0.5429,0.5368,0.5368,0.32,0.7536
bert_lr2e-05_wr0.0_dwAuto,0.6383,0.575,0.5779,0.5761,0.4138,0.7385
mmBERT-base,0.6809,0.6612,0.6905,0.6586,0.5714,0.7458
xlm-roberta-base,0.6809,0.6476,0.6699,0.6498,0.5455,0.7541
bert-base-multilingual-cased,0.6383,0.575,0.5779,0.5761,0.4138,0.7385
jhu_lr1e-05_wr0.0_dwAuto,0.617,0.5238,0.5216,0.5215,0.3077,0.7353
jhu_lr2e-05_wr0.0_dwAuto,0.6809,0.6612,0.6905,0.6586,0.5714,0.7458
