model,accuracy,precision_macro,recall_macro,f1_macro,f1_depressed,f1_nondepressed,best_cv_f1_macro,best_params
Logistic Regression,0.6596,0.3444,0.4697,0.3974,0.0,0.7949,0.573,"{'clf__C': 0.01, 'tfidf__max_features': 5000, 'tfidf__ngram_range': (1, 2)}"
LinearSVC (SVM),0.7234,0.6594,0.618,0.6258,0.4348,0.8169,0.6217,"{'clf__C': 0.01, 'tfidf__max_features': 5000, 'tfidf__ngram_range': (1, 2)}"
Random Forest,0.7021,0.3511,0.5,0.4125,0.0,0.825,0.4108,"{'clf__max_depth': None, 'clf__n_estimators': 100, 'tfidf__max_features': 5000, 'tfidf__ngram_range': (1, 2)}"
